VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
1,2016-06-30 14:59:20,2016-06-30 15:20:14,N,1,-73.939826965332031,40.840206146240234,-73.951362609863281,40.785881042480469,1,5.70,20.5,0,0.5,4.25,0,,0.3,25.55,1,1
2,2016-06-22 23:47:02,2016-06-23 00:04:39,N,1,-73.954444885253906,40.680858612060547,-73.918998718261719,40.636600494384766,2,4.80,17.5,0.5,0.5,0,0,,0.3,18.8,2,1
2,2016-06-21 19:02:37,2016-06-21 19:10:37,N,1,-73.952972412109375,40.791790008544922,-73.961196899414063,40.77191162109375,5,1.63,8,1,0.5,0,0,,0.3,9.8,2,1
2,2016-06-10 02:23:24,2016-06-10 02:45:25,N,1,-73.84429931640625,40.721382141113281,-73.874702453613281,40.743331909179688,1,3.49,17,0.5,0.5,0,0,,0.3,18.3,2,1
1,2016-06-04 21:46:52,2016-06-04 21:49:50,N,1,-73.861915588378906,40.730445861816406,-73.854423522949219,40.735389709472656,1,.60,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-06-07 21:35:02,2016-06-07 22:00:03,N,1,-73.989631652832031,40.702255249023438,-73.968795776367187,40.791225433349609,1,10.01,30,0.5,0.5,6.26,0,,0.3,37.56,1,1
2,2016-06-17 23:48:50,2016-06-18 00:15:48,N,1,-73.920547485351562,40.768020629882813,-73.980110168457031,40.74249267578125,1,4.83,20,0.5,0.5,4.26,0,,0.3,25.56,1,1
1,2016-06-05 00:46:11,2016-06-05 00:53:02,N,1,-73.857177734375,40.88671875,-73.840995788574219,40.881687164306641,1,1.20,6.5,0.5,0.5,0,0,,0.3,7.8,3,1
1,2016-06-01 07:07:51,2016-06-01 07:26:33,N,1,-73.983169555664063,40.693458557128906,-73.965621948242188,40.653450012207031,1,3.50,15.5,0,0.5,0,0,,0.3,16.3,2,1
1,2016-06-20 19:09:49,2016-06-20 19:21:07,N,1,-73.917556762695313,40.760829925537109,-73.886039733886719,40.749034881591797,1,2.40,10,1,0.5,0,0,,0.3,11.8,2,1
2,2016-06-26 12:00:40,2016-06-26 12:16:20,N,1,-73.939521789550781,40.798534393310547,-73.914840698242188,40.818485260009766,1,2.19,12,0,0.5,0,0,,0.3,12.8,1,1
2,2016-06-20 00:08:30,2016-06-20 00:33:41,N,1,-73.962539672851562,40.719882965087891,-73.935600280761719,40.809406280517578,1,10.90,33.5,0.5,0.5,4,0,,0.3,38.8,1,1
2,2016-06-12 12:05:58,2016-06-12 12:10:57,N,1,-73.95574951171875,40.788051605224609,-73.962432861328125,40.781375885009766,1,.59,5.5,0,0.5,0,0,,0.3,6.3,2,1
2,2016-06-03 14:24:34,2016-06-03 14:29:31,N,1,-73.9520263671875,40.725933074951172,-73.940650939941406,40.725540161132812,2,.75,5,0,0.5,0,0,,0.3,5.8,2,1
